LXX,WLC
πεδίοις,וּבְכָל
κατὰ,עֲבֹדָ֖ה
πάντα,בַּשָּׂדֶ֑ה
τὰ,אֵ֚ת
ἔργα,כָּל
ὧν,עֲבֹ֣דָתָ֔ם
κατεδουλοῦντο,אֲשֶׁר
αὐτοὺς,עָבְד֥וּ
μετὰ,בָהֶ֖ם
βίας,בְּפָֽרֶךְ
15,15
καὶ,
εἶπεν,
ὁ,
βασιλεὺς,
τῶν,
Αἰγυπτίων,
ταῖς,
μαίαις,
τῶν,
Εβραίων,
τῇ,וַיֹּ֨אמֶר֙
μιᾷ,מֶ֣לֶךְ
αὐτῶν,מִצְרַ֔יִם
ᾗ,לַֽמְיַלְּדֹ֖ת
ὄνομα,הָֽעִבְרִיֹּ֑ת
Σεπφωρα,אֲשֶׁ֨ר
καὶ,שֵׁ֤ם
τὸ,הָֽאַחַת֙
ὄνομα,שִׁפְרָ֔ה
τῆς,וְשֵׁ֥ם
δευτέρας,הַשֵּׁנִ֖ית
Φουα,פּוּעָֽה
16,16
καὶ,
εἶπεν,
ὅταν,
μαιοῦσθε,
τὰς,
Εβραίας,
καὶ,וַיֹּ֗אמֶר
ὦσιν,בְּיַלֶּדְכֶן֙
πρὸς,אֶת
τῷ,הָֽעִבְרִיּ֔וֹת
τίκτειν,וּרְאִיתֶ֖ן
ἐὰν,עַל
μὲν,הָאָבְנָ֑יִם
ἄρσεν,אִם
ᾖ,בֵּ֥ן
ἀποκτείνατε,הוּא֙
αὐτό,וַהֲמִתֶּ֣ן
ἐὰν,אֹת֔וֹ
δὲ,וְאִם
θῆλυ,בַּ֥ת
περιποιεῖσθε,הִ֖יא
αὐτό,וָחָֽיָה
17,17
ἐφοβήθησαν,
δὲ,
αἱ,
μαῖαι,
τὸν,
θεὸν,וַתִּירֶ֤אןָ
καὶ,הַֽמְיַלְּדֹת֙
οὐκ,אֶת
ἐποίησαν,הָ֣אֱלֹהִ֔ים
καθότι,וְלֹ֣א
συνέταξεν,עָשׂ֔וּ
αὐταῖς,כַּאֲשֶׁ֛ר
ὁ,דִּבֶּ֥ר
βασιλεὺς,אֲלֵיהֶ֖ן
Αἰγύπτου,מֶ֣לֶךְ
καὶ,מִצְרָ֑יִם
ἐζωογόνουν,וַתְּחַיֶּ֖יןָ
τὰ,אֶת
ἄρσενα,הַיְלָדִֽים
18,18
ἐκάλεσεν,
δὲ,
ὁ,
βασιλεὺς,
Αἰγύπτου,
τὰς,
μαίας,
καὶ,וַיִּקְרָ֤א
εἶπεν,מֶֽלֶךְ
αὐταῖς,מִצְרַ֨יִם֙
τί,לַֽמְיַלְּדֹ֔ת
ὅτι,וַיֹּ֣אמֶר
ἐποιήσατε,לָהֶ֔ן
τὸ,מַדּ֥וּעַ
πρᾶγμα,עֲשִׂיתֶ֖ן
τοῦτο,הַדָּבָ֣ר
καὶ,הַזֶּ֑ה
ἐζωογονεῖτε,וַתְּחַיֶּ֖יןָ
τὰ,אֶת
ἄρσενα,הַיְלָדִֽים
19,19
εἶπαν,
δὲ,
αἱ,
μαῖαι,
τῷ,
Φαραω,
οὐχ,וַתֹּאמַ֤רְןָ
ὡς,הַֽמְיַלְּדֹת֙
γυναῖκες,אֶל
Αἰγύπτου,פַּרְעֹ֔ה
αἱ,כִּ֣י
Εβραῖαι,לֹ֧א
τίκτουσιν,כַנָּשִׁ֛ים
γὰρ,הַמִּצְרִיֹּ֖ת
πρὶν,הָֽעִבְרִיֹּ֑ת
ἢ,כִּֽי
εἰσελθεῖν,חָי֣וֹת
πρὸς,הֵ֔נָּה
αὐτὰς,בְּטֶ֨רֶם
τὰς,תָּב֧וֹא
μαίας,אֲלֵהֶ֛ן
καὶ,הַמְיַלֶּ֖דֶת
ἔτικτον,וְיָלָֽדוּ
20,20
εὖ,
δὲ,
ἐποίει,
ὁ,
θεὸς,
ταῖς,
μαίαις,
καὶ,וַיֵּ֥יטֶב
ἐπλήθυνεν,אֱלֹהִ֖ים
ὁ,לַֽמְיַלְּדֹ֑ת
λαὸς,וַיִּ֧רֶב
καὶ,הָעָ֛ם
ἴσχυεν,וַיַּֽעַצְמ֖וּ
σφόδρα,מְאֹֽד
21,21
ἐπειδὴ,וַיְהִ֕י
ἐφοβοῦντο,כִּֽי
αἱ,יָֽרְא֥וּ
μαῖαι,הַֽמְיַלְּדֹ֖ת
τὸν,אֶת
θεόν,הָאֱלֹהִ֑ים
ἐποίησαν,וַיַּ֥עַשׂ
ἑαυταῖς,לָהֶ֖ם
οἰκίας,בָּתִּֽים
22,22
συνέταξεν,
δὲ,
Φαραω,
παντὶ,
τῷ,
λαῷ,
αὐτοῦ,
λέγων,
πᾶν,
ἄρσεν,
ὃ,
ἐὰν,וַיְצַ֣ו
τεχθῇ,פַּרְעֹ֔ה
τοῖς,לְכָל
Εβραίοις,עַמּ֖וֹ
εἰς,לֵאמֹ֑ר
τὸν,כָּל
ποταμὸν,הַבֵּ֣ן
ῥίψατε,הַיִּלּ֗וֹד
καὶ,הַיְאֹ֨רָה֙
πᾶν,תַּשְׁלִיכֻ֔הוּ
θῆλυ,וְכָל
ζωογονεῖτε,הַבַּ֖ת
αὐτό,תְּחַיּֽוּן
