word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
וְיָלָֽדוּ,19,c/3205,H3205,HC/Vqp3cp,HC/Vqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
וַיֵּ֥יטֶב,20,c/3190,H3190,HC/Vhw3ms,HC/Vhw3ms,Verb,Sequential imperfect,Hiphil,Indicative,3,Singular,,Masculine,,
אֱלֹהִ֖ים,20,430,H430,HNcmpa,HNcmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
לַֽמְיַלְּדֹ֑ת,20,l/3205,H3205,HRd/Vprfpa,HRd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
וַיִּ֧רֶב,20,c/7235 a,H7235,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
הָעָ֛ם,20,d/5971 a,H5971,HTd/Ncmsa,HTd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וַיַּֽעַצְמ֖וּ,20,c/6105 a,H6105,HC/Vqw3mp,HC/Vqw3mp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Masculine,,
מְאֹֽד,20,3966,H3966,HD,HD,Adverb,,,,,,,,,
וַיְהִ֕י,21,c/1961,H1961,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
כִּֽי,21,3588 a,H3588,HC,HC,Conjunction,,,,,,,,,
יָֽרְא֥וּ,21,3372,H3372,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
הַֽמְיַלְּדֹ֖ת,21,d/3205,H3205,HTd/Vprfpa,HTd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
אֶת,21,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
הָאֱלֹהִ֑ים,21,d/430,H430,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
וַיַּ֥עַשׂ,21,c/6213 a,H6213,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
לָהֶ֖ם,21,l,,HR/Sp3mp,HR/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
בָּתִּֽים,21,1004 b,H1004,HNcmpa,HNcmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
וַיְצַ֣ו,22,c/6680,H6680,HC/Vpw3ms,HC/Vpw3ms,Verb,Sequential imperfect,Piel,Indicative,3,Singular,,Masculine,,
פַּרְעֹ֔ה,22,6547,H6547,HNp,HNp,Noun (Proper name),,,,,,,,,
לְכָל,22,l/3605,H3605,HR/Ncmsc,HR/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
עַמּ֖וֹ,22,5971 a,H5971,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
לֵאמֹ֑ר,22,l/559,H559,HR/Vqc,HR/Vqc,Verb,Infinitive construct,Qal,Infinitive,,,,,,
כָּל,22,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הַבֵּ֣ן,22,d/1121 a,H1121,HTd/Ncmsa,HTd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
הַיִּלּ֗וֹד,22,d/3209,H3209,HTd/Aamsa,HTd/Aamsa,a,,,,,,,,,
הַיְאֹ֨רָה֙,22,d/2975,H2975,HTd/Np/Sd,HTd/Np/Sd,Suffix,,,,,,,,,
תַּשְׁלִיכֻ֔הוּ,22,7993,H7993,HVhi2mp/Sp3ms,HVhi2mp/Sp3ms,Suffix (Pronominal),Imperfect,Hiphil,Indicative,3,Singular,,Masculine,,
וְכָל,22,c/3605,H3605,HC/Ncmsc,HC/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הַבַּ֖ת,22,d/1323,H1323,HTd/Ncfsa,HTd/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
תְּחַיּֽוּן,22,2421,H2421,HVpi2mp/Sn,HVpi2mp/Sn,Suffix,Imperfect,Piel,Indicative,2,Plural,,Masculine,,
