heb1.txt,sept1.txt
צַלְעֹ֣ת,αἴρειν
הָאָרֹ֑ן,τὴν
לָשֵׂ֥את,κιβωτὸν
אֶת־הָאָרֹ֖ן,ἐν
בָּהֶֽם׃,αὐτοῖς·
15,15
,ἐν
,τοῖς
בְּטַבְּעֹת֙,δακτυλίοις
הָאָרֹ֔ן,τῆς
יִהְי֖וּ,κιβωτοῦ
הַבַּדִּ֑ים,ἔσονται
לֹ֥א,οἱ
יָסֻ֖רוּ,ἀναφορεῖς
מִמֶּֽנּוּ׃,ἀκίνητοι.
16,16
,καὶ
,ἐμβαλεῖς
,εἰς
,τὴν
וְנָתַתָּ֖,κιβωτὸν
אֶל־הָאָרֹ֑ן,τὰ
אֵ֚ת,"μαρτύρια,"
הָעֵדֻ֔ת,ἃ
אֲשֶׁ֥ר,ἂν
אֶתֵּ֖ן,δῶ
אֵלֶֽיךָ׃,σοι.
17,17
,καὶ
,ποιήσεις
,ἱλαστήριον
,ἐπίθεμα
,χρυσίου
,"καθαροῦ,"
,δύο
,πήχεων
וְעָשִׂ֥יתָ,καὶ
כַפֹּ֖רֶת,ἡμίσους
זָהָ֣ב,τὸ
טָה֑וֹר,μῆκος
אַמָּתַ֤יִם,καὶ
וָחֵ֨צִי֙,πήχεος
אָרְכָּ֔הּ,καὶ
וְאַמָּ֥ה,ἡμίσους
וָחֵ֖צִי,τὸ
רָחְבָּֽהּ׃,πλάτος.
18,18
,καὶ
,ποιήσεις
,δύο
,χερουβιμ
,χρυσᾶ
וְעָשִׂ֛יתָ,τορευτὰ
שְׁנַ֥יִם,καὶ
כְּרֻבִ֖ים,ἐπιθήσεις
זָהָ֑ב,αὐτὰ
מִקְשָׁה֙,ἐξ
תַּעֲשֶׂ֣ה,ἀμφοτέρων
אֹתָ֔ם,τῶν
מִשְּׁנֵ֖י,κλιτῶν
קְצ֥וֹת,τοῦ
הַכַּפֹּֽרֶת׃,ἱλαστηρίου·
19,19
,ποιηθήσονται
,χερουβ
,εἷς
,ἐκ
,τοῦ
,κλίτους
,τούτου
,καὶ
,χερουβ
,εἷς
,ἐκ
,τοῦ
,κλίτους
וַ֠עֲשֵׂה,τοῦ
כְּר֨וּב,δευτέρου
אֶחָ֤ד,τοῦ
מִקָּצָה֙,ἱλαστηρίου·
מִזֶּ֔ה,καὶ
וּכְרוּב־אֶחָ֥ד,ποιήσεις
מִקָּצָ֖ה,τοὺς
מִזֶּ֑ה,δύο
מִן־הַכַּפֹּ֛רֶת,χερουβιμ
תַּעֲשׂ֥וּ,ἐπὶ
אֶת־הַכְּרֻבִ֖ים,τὰ
עַל־שְׁנֵ֥י,δύο
קְצוֹתָֽיו׃,κλίτη.
20,20
,ἔσονται
,οἱ
,χερουβιμ
,ἐκτείνοντες
,τὰς
,πτέρυγας
,"ἐπάνωθεν,"
,συσκιάζοντες
,ταῖς
,πτέρυξιν
,αὐτῶν
,ἐπὶ
,τοῦ
וְהָי֣וּ,"ἱλαστηρίου,"
הַכְּרֻבִים֩,καὶ
פֹּרְשֵׂ֨י,τὰ
כְנָפַ֜יִם,πρόσωπα
לְמַ֗עְלָה,αὐτῶν
סֹכְכִ֤ים,εἰς
בְּכַנְפֵיהֶם֙,ἄλληλα·
עַל־הַכַּפֹּ֔רֶת,εἰς
וּפְנֵיהֶ֖ם,τὸ
אִ֣ישׁ,ἱλαστήριον
אֶל־אָחִ֑יו,ἔσονται
אֶל־הַכַּפֹּ֔רֶת,τὰ
יִהְי֖וּ,πρόσωπα
פְּנֵ֥י,τῶν
הַכְּרֻבִֽים׃,χερουβιμ.
21,21
,καὶ
,ἐπιθήσεις
,τὸ
,ἱλαστήριον
,ἐπὶ
,τὴν
,κιβωτὸν
,ἄνωθεν·
,καὶ
וְנָתַתָּ֧,εἰς
אֶת־הַכַּפֹּ֛רֶת,τὴν
עַל־הָאָרֹ֖ן,κιβωτὸν
מִלְמָ֑עְלָה,ἐμβαλεῖς
וְאֶל־הָ֣אָרֹ֔ן,τὰ
תִּתֵּן֙,"μαρτύρια,"
אֶת־הָ֣עֵדֻ֔ת,ἃ
אֲשֶׁ֥ר,ἂν
אֶתֵּ֖ן,δῶ
אֵלֶֽיךָ׃,σοι.
22,22
,καὶ
,γνωσθήσομαί
,σοι
,ἐκεῖθεν
,καὶ
,λαλήσω
,σοι
,ἄνωθεν
,τοῦ
,ἱλαστηρίου
,ἀνὰ
,μέσον
,τῶν
וְנוֹעַדְתִּ֣י,δύο
לְךָ֮,χερουβιμ
שָׁם֒,τῶν
וְדִבַּרְתִּ֨י,ὄντων
אִתְּךָ֜,ἐπὶ
מֵעַ֣ל,τῆς
הַכַּפֹּ֗רֶת,κιβωτοῦ
מִבֵּין֙,τοῦ
שְׁנֵ֣י,μαρτυρίου
הַכְּרֻבִ֔ים,καὶ
אֲשֶׁ֖ר,κατὰ
עַל־אֲרֹ֣ן,"πάντα,"
הָעֵדֻ֑ת,ὅσα
אֵ֣ת,ἂν
כָּל־אֲשֶׁ֧ר,ἐντείλωμαί
אֲצַוֶּ֛ה,σοι
אוֹתְךָ֖,πρὸς
אֶל־בְּנֵ֥י,τοὺς
יִשְׂרָאֵֽל׃,υἱοὺς
פ,Ισραηλ.
23,23
,Καὶ
,ποιήσεις
,τράπεζαν
,χρυσίου
,"καθαροῦ,"
,δύο
,πήχεων
,τὸ
וְעָשִׂ֥יתָ,μῆκος
שֻׁלְחָ֖ן,καὶ
עֲצֵ֣י,πήχεος
שִׁטִּ֑ים,τὸ
אַמָּתַ֤יִם,εὖρος
אָרְכּוֹ֙,καὶ
וְאַמָּ֣ה,πήχεος
רָחְבּ֔וֹ,καὶ
וְאַמָּ֥ה,ἡμίσους
וָחֵ֖צִי,τὸ
קֹמָתֽוֹ׃,ὕψος.
24,24
וְצִפִּיתָ֥,
אֹת֖וֹ,
זָהָ֣ב,καὶ
טָה֑וֹר,ποιήσεις
וְעָשִׂ֥יתָ,αὐτῇ
לּ֛וֹ,στρεπτὰ
זֵ֥ר,κυμάτια
זָהָ֖ב,χρυσᾶ
סָבִֽיב׃,κύκλῳ.
25,25
,καὶ
,ποιήσεις
,αὐτῇ
,στεφάνην
וְעָשִׂ֨יתָ,παλαιστοῦ
