word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
וַיְדַבֵּ֥ר,1,c/1696,H1696,HC/Vpw3ms,HC/Vpw3ms,Verb,Sequential imperfect,Piel,Indicative,3,Singular,,Masculine,,
יְהוָ֖ה,1,3068,H3068,HNp,HNp,Noun (Proper name),,,,,,,,,
אֶל,1,413,H413,HR,HR,Preposition,,,,,,,,,
מֹשֶׁ֥ה,1,4872,H4872,HNp,HNp,Noun (Proper name),,,,,,,,,
לֵּאמֹֽר,1,l/559,H559,HR/Vqc,HR/Vqc,Verb,Infinitive construct,Qal,Infinitive,,,,,,
דַּבֵּר֙,2,1696,H1696,HVpv2ms,HVpv2ms,Verb,Imperative,Piel,Imperative,2,Singular,,Masculine,,
אֶל,2,413,H413,HR,HR,Preposition,,,,,,,,,
בְּנֵ֣י,2,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
יִשְׂרָאֵ֔ל,2,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
וְיִקְחוּ,2,c/3947,H3947,HC/Vqj3mp,HC/Vqj3mp,Verb,Jussive,Qal,Jussive,3,Plural,,Masculine,,
לִ֖י,2,l,,HR/Sp1cs,HR/Sp1cs,Suffix (Pronominal),,,,1,Singular,,Common,,
תְּרוּמָ֑ה,2,8641,H8641,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
מֵאֵ֤ת,2,m/854,H854,HR/R,HR/R,Preposition,,,,,,,,,
כָּל,2,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
אִישׁ֙,2,376,H376,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
אֲשֶׁ֣ר,2,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
יִדְּבֶ֣נּוּ,2,5068,H5068,HVqi3ms/Sp3ms,HVqi3ms/Sp3ms,Suffix (Pronominal),Imperfect,Qal,Indicative,3,Singular,,Masculine,,
לִבּ֔וֹ,2,3820 a,H3820,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
תִּקְח֖וּ,2,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
אֶת,2,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
תְּרוּמָתִֽי,2,8641,H8641,HNcfsc/Sp1cs,HNcfsc/Sp1cs,Suffix (Pronominal),,,,1,Singular,Construct,Common,,
וְזֹאת֙,3,c/2063,H2063,HC/Pdxfs,HC/Pdxfs,Pronoun (Demonstrative),,,,x,Singular,,Feminine,,
הַתְּרוּמָ֔ה,3,d/8641,H8641,HTd/Ncfsa,HTd/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
אֲשֶׁ֥ר,3,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
תִּקְח֖וּ,3,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
מֵאִתָּ֑ם,3,m/854,H854,HR/R/Sp3mp,HR/R/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
זָהָ֥ב,3,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וָכֶ֖סֶף,3,c/3701,H3701,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וּנְחֹֽשֶׁת,3,c/5178 a,H5178,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
וּתְכֵ֧לֶת,4,c/8504,H8504,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
וְאַרְגָּמָ֛ן,4,c/713,H713,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וְתוֹלַ֥עַת,4,c/8438 a,H8438,HC/Ncbsc,HC/Ncbsc,Noun (Common),,,,,Singular,Construct,Both,,
שָׁנִ֖י,4,8144,H8144,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וְשֵׁ֥שׁ,4,c/8336 b,H8336,HC/Acfsa,HC/Acfsa,c,,,,,,,,,
