LXX_key,LXX,WLC_key,WLC
1,1,1,1
LXX-Exod-001-001-001,ταῦτα,,
LXX-Exod-001-001-002,τὰ,,
LXX-Exod-001-001-003,ὀνόματα,,
LXX-Exod-001-001-004,τῶν,,
LXX-Exod-001-001-005,υἱῶν,,
LXX-Exod-001-001-006,Ισραηλ,,
LXX-Exod-001-001-007,τῶν,,
LXX-Exod-001-001-008,εἰσπεπορευμένων,,
LXX-Exod-001-001-009,εἰς,WLC-Exod-001-001-001,וְאֵ֗לֶּה
LXX-Exod-001-001-010,Αἴγυπτον,WLC-Exod-001-001-002,שְׁמוֹת֙
LXX-Exod-001-001-011,ἅμα,WLC-Exod-001-001-003,בְּנֵ֣י
LXX-Exod-001-001-012,Ιακωβ,WLC-Exod-001-001-004,יִשְׂרָאֵ֔ל
LXX-Exod-001-001-013,τῷ,WLC-Exod-001-001-005,הַבָּאִ֖ים
LXX-Exod-001-001-014,πατρὶ,WLC-Exod-001-001-006,מִצְרָ֑יְמָה
LXX-Exod-001-001-015,αὐτῶν,WLC-Exod-001-001-007,אֵ֣ת
LXX-Exod-001-001-016,ἕκαστος,WLC-Exod-001-001-008,יַעֲקֹ֔ב
LXX-Exod-001-001-017,πανοικίᾳ,WLC-Exod-001-001-009,אִ֥ישׁ
LXX-Exod-001-001-018,αὐτῶν,WLC-Exod-001-001-010,וּבֵית֖וֹ
LXX-Exod-001-001-019,εἰσήλθοσαν,WLC-Exod-001-001-011,בָּֽאוּ
2,2,2,2
LXX-Exod-001-002-001,Ρουβην,WLC-Exod-001-002-001,רְאוּבֵ֣ן
LXX-Exod-001-002-002,Συμεων,WLC-Exod-001-002-002,שִׁמְע֔וֹן
LXX-Exod-001-002-003,Λευι,WLC-Exod-001-002-003,לֵוִ֖י
LXX-Exod-001-002-004,Ιουδας,WLC-Exod-001-002-004,וִיהוּדָֽה
3,3,3,3
LXX-Exod-001-003-001,Ισσαχαρ,,
LXX-Exod-001-003-002,Ζαβουλων,WLC-Exod-001-003-001,יִשָּׂשכָ֥ר
LXX-Exod-001-003-003,καὶ,WLC-Exod-001-003-002,זְבוּלֻ֖ן
LXX-Exod-001-003-004,Βενιαμιν,WLC-Exod-001-003-003,וּבְנְיָמִֽן
4,4,4,4
LXX-Exod-001-004-001,Δαν,,
LXX-Exod-001-004-002,καὶ,,
LXX-Exod-001-004-003,Νεφθαλι,WLC-Exod-001-004-001,דָּ֥ן
LXX-Exod-001-004-004,Γαδ,WLC-Exod-001-004-002,וְנַפְתָּלִ֖י
LXX-Exod-001-004-005,καὶ,WLC-Exod-001-004-003,גָּ֥ד
LXX-Exod-001-004-006,Ασηρ,WLC-Exod-001-004-004,וְאָשֵֽׁר
5,5,5,5
LXX-Exod-001-005-001,Ιωσηφ,,
LXX-Exod-001-005-002,δὲ,,
LXX-Exod-001-005-003,ἦν,,
LXX-Exod-001-005-004,ἐν,WLC-Exod-001-005-001,וַֽיְהִ֗י
LXX-Exod-001-005-005,Αἰγύπτῳ,WLC-Exod-001-005-002,כָּל
LXX-Exod-001-005-006,ἦσαν,WLC-Exod-001-005-003,נֶ֛פֶשׁ
LXX-Exod-001-005-007,δὲ,WLC-Exod-001-005-004,יֹצְאֵ֥י
LXX-Exod-001-005-008,πᾶσαι,WLC-Exod-001-005-005,יֶֽרֶךְ
LXX-Exod-001-005-009,ψυχαὶ,WLC-Exod-001-005-006,יַעֲקֹ֖ב
LXX-Exod-001-005-010,ἐξ,WLC-Exod-001-005-007,שִׁבְעִ֣ים
LXX-Exod-001-005-011,Ιακωβ,WLC-Exod-001-005-008,נָ֑פֶשׁ
LXX-Exod-001-005-012,πέντε,WLC-Exod-001-005-009,וְיוֹסֵ֖ף
LXX-Exod-001-005-013,καὶ,WLC-Exod-001-005-010,הָיָ֥ה
LXX-Exod-001-005-014,ἑβδομήκοντα,WLC-Exod-001-005-011,בְמִצְרָֽיִם
6,6,6,6
LXX-Exod-001-006-001,ἐτελεύτησεν,,
LXX-Exod-001-006-002,δὲ,,
LXX-Exod-001-006-003,Ιωσηφ,,
LXX-Exod-001-006-004,καὶ,,
LXX-Exod-001-006-005,πάντες,,
LXX-Exod-001-006-006,οἱ,,
LXX-Exod-001-006-007,ἀδελφοὶ,WLC-Exod-001-006-001,וַיָּ֤מָת
LXX-Exod-001-006-008,αὐτοῦ,WLC-Exod-001-006-002,יוֹסֵף֙
LXX-Exod-001-006-009,καὶ,WLC-Exod-001-006-003,וְכָל
LXX-Exod-001-006-010,πᾶσα,WLC-Exod-001-006-004,אֶחָ֔יו
LXX-Exod-001-006-011,ἡ,WLC-Exod-001-006-005,וְכֹ֖ל
LXX-Exod-001-006-012,γενεὰ,WLC-Exod-001-006-006,הַדּ֥וֹר
LXX-Exod-001-006-013,ἐκείνη,WLC-Exod-001-006-007,הַהֽוּא
7,7,7,7
LXX-Exod-001-007-001,οἱ,,
LXX-Exod-001-007-002,δὲ,,
LXX-Exod-001-007-003,υἱοὶ,,
LXX-Exod-001-007-004,Ισραηλ,,
LXX-Exod-001-007-005,ηὐξήθησαν,,
LXX-Exod-001-007-006,καὶ,,
LXX-Exod-001-007-007,ἐπληθύνθησαν,,
LXX-Exod-001-007-008,καὶ,,
LXX-Exod-001-007-009,χυδαῖοι,WLC-Exod-001-007-001,וּבְנֵ֣י
LXX-Exod-001-007-010,ἐγένοντο,WLC-Exod-001-007-002,יִשְׂרָאֵ֗ל
LXX-Exod-001-007-011,καὶ,WLC-Exod-001-007-003,פָּר֧וּ
LXX-Exod-001-007-012,κατίσχυον,WLC-Exod-001-007-004,וַֽיִּשְׁרְצ֛וּ
LXX-Exod-001-007-013,σφόδρα,WLC-Exod-001-007-005,וַיִּרְבּ֥וּ
LXX-Exod-001-007-014,σφόδρα,WLC-Exod-001-007-006,וַיַּֽעַצְמ֖וּ
LXX-Exod-001-007-015,ἐπλήθυνεν,WLC-Exod-001-007-007,בִּמְאֹ֣ד
LXX-Exod-001-007-016,δὲ,WLC-Exod-001-007-008,מְאֹ֑ד
LXX-Exod-001-007-017,ἡ,WLC-Exod-001-007-009,וַתִּמָּלֵ֥א
LXX-Exod-001-007-018,γῆ,WLC-Exod-001-007-010,הָאָ֖רֶץ
LXX-Exod-001-007-019,αὐτούς,WLC-Exod-001-007-011,אֹתָֽם
8,8,8,8
LXX-Exod-001-008-001,ἀνέστη,,
LXX-Exod-001-008-002,δὲ,WLC-Exod-001-008-001,וַיָּ֥קָם
LXX-Exod-001-008-003,βασιλεὺς,WLC-Exod-001-008-002,מֶֽלֶךְ
LXX-Exod-001-008-004,ἕτερος,WLC-Exod-001-008-003,חָדָ֖שׁ
LXX-Exod-001-008-005,ἐπ’,WLC-Exod-001-008-004,עַל
LXX-Exod-001-008-006,Αἴγυπτον,WLC-Exod-001-008-005,מִצְרָ֑יִם
LXX-Exod-001-008-007,ὃς,WLC-Exod-001-008-006,אֲשֶׁ֥ר
LXX-Exod-001-008-008,οὐκ,WLC-Exod-001-008-007,לֹֽא
LXX-Exod-001-008-009,ᾔδει,WLC-Exod-001-008-008,יָדַ֖ע
LXX-Exod-001-008-010,τὸν,WLC-Exod-001-008-009,אֶת
LXX-Exod-001-008-011,Ιωσηφ,WLC-Exod-001-008-010,יוֹסֵֽף
9,9,9,9
LXX-Exod-001-009-001,εἶπεν,,
LXX-Exod-001-009-002,δὲ,,
LXX-Exod-001-009-003,τῷ,,
LXX-Exod-001-009-004,ἔθνει,,
LXX-Exod-001-009-005,αὐτοῦ,,
LXX-Exod-001-009-006,ἰδοὺ,,
LXX-Exod-001-009-007,τὸ,,
LXX-Exod-001-009-008,γένος,WLC-Exod-001-009-001,וַיֹּ֖אמֶר
LXX-Exod-001-009-009,τῶν,WLC-Exod-001-009-002,אֶל
LXX-Exod-001-009-010,υἱῶν,WLC-Exod-001-009-003,עַמּ֑וֹ
LXX-Exod-001-009-011,Ισραηλ,WLC-Exod-001-009-004,הִנֵּ֗ה
LXX-Exod-001-009-012,μέγα,WLC-Exod-001-009-005,עַ֚ם
LXX-Exod-001-009-013,πλῆθος,WLC-Exod-001-009-006,בְּנֵ֣י
LXX-Exod-001-009-014,καὶ,WLC-Exod-001-009-007,יִשְׂרָאֵ֔ל
LXX-Exod-001-009-015,ἰσχύει,WLC-Exod-001-009-008,רַ֥ב
LXX-Exod-001-009-016,ὑπὲρ,WLC-Exod-001-009-009,וְעָצ֖וּם
LXX-Exod-001-009-017,ἡμᾶς,WLC-Exod-001-009-010,מִמֶּֽנּוּ
10,10,10,10
LXX-Exod-001-010-001,δεῦτε,,
LXX-Exod-001-010-002,οὖν,,
LXX-Exod-001-010-003,κατασοφισώμεθα,,
LXX-Exod-001-010-004,αὐτούς,,
LXX-Exod-001-010-005,μήποτε,,
LXX-Exod-001-010-006,πληθυνθῇ,,
LXX-Exod-001-010-007,καί,WLC-Exod-001-010-001,הָ֥בָה
LXX-Exod-001-010-008,ἡνίκα,WLC-Exod-001-010-002,נִֽתְחַכְּמָ֖ה
LXX-Exod-001-010-009,ἂν,WLC-Exod-001-010-003,ל֑וֹ
LXX-Exod-001-010-010,συμβῇ,WLC-Exod-001-010-004,פֶּן
LXX-Exod-001-010-011,ἡμῖν,WLC-Exod-001-010-005,יִרְבֶּ֗ה
LXX-Exod-001-010-012,πόλεμος,WLC-Exod-001-010-006,וְהָיָ֞ה
LXX-Exod-001-010-013,προστεθήσονται,WLC-Exod-001-010-007,כִּֽי
LXX-Exod-001-010-014,καὶ,WLC-Exod-001-010-008,תִקְרֶ֤אנָה
LXX-Exod-001-010-015,οὗτοι,WLC-Exod-001-010-009,מִלְחָמָה֙
LXX-Exod-001-010-016,πρὸς,WLC-Exod-001-010-010,וְנוֹסַ֤ף
LXX-Exod-001-010-017,τοὺς,WLC-Exod-001-010-011,גַּם
LXX-Exod-001-010-018,ὑπεναντίους,WLC-Exod-001-010-012,הוּא֙
LXX-Exod-001-010-019,καὶ,WLC-Exod-001-010-013,עַל
LXX-Exod-001-010-020,ἐκπολεμήσαντες,WLC-Exod-001-010-014,שֹׂ֣נְאֵ֔ינוּ
LXX-Exod-001-010-021,ἡμᾶς,WLC-Exod-001-010-015,וְנִלְחַם
LXX-Exod-001-010-022,ἐξελεύσονται,WLC-Exod-001-010-016,בָּ֖נוּ
LXX-Exod-001-010-023,ἐκ,WLC-Exod-001-010-017,וְעָלָ֥ה
LXX-Exod-001-010-024,τῆς,WLC-Exod-001-010-018,מִן
LXX-Exod-001-010-025,γῆς,WLC-Exod-001-010-019,הָאָֽרֶץ
11,11,11,11
LXX-Exod-001-011-001,καὶ,,
LXX-Exod-001-011-002,ἐπέστησεν,,
LXX-Exod-001-011-003,αὐτοῖς,,
LXX-Exod-001-011-004,ἐπιστάτας,,
LXX-Exod-001-011-005,τῶν,,
LXX-Exod-001-011-006,ἔργων,,
LXX-Exod-001-011-007,ἵνα,,
LXX-Exod-001-011-008,κακώσωσιν,,
LXX-Exod-001-011-009,αὐτοὺς,,
LXX-Exod-001-011-010,ἐν,,
LXX-Exod-001-011-011,τοῖς,,
LXX-Exod-001-011-012,ἔργοις,,
LXX-Exod-001-011-013,καὶ,,
LXX-Exod-001-011-014,ᾠκοδόμησαν,,
LXX-Exod-001-011-015,πόλεις,WLC-Exod-001-011-001,וַיָּשִׂ֤ימוּ
LXX-Exod-001-011-016,ὀχυρὰς,WLC-Exod-001-011-002,עָלָיו֙
LXX-Exod-001-011-017,τῷ,WLC-Exod-001-011-003,שָׂרֵ֣י
LXX-Exod-001-011-018,Φαραω,WLC-Exod-001-011-004,מִסִּ֔ים
LXX-Exod-001-011-019,τήν,WLC-Exod-001-011-005,לְמַ֥עַן
LXX-Exod-001-011-020,τε,WLC-Exod-001-011-006,עַנֹּת֖וֹ
LXX-Exod-001-011-021,Πιθωμ,WLC-Exod-001-011-007,בְּסִבְלֹתָ֑ם
LXX-Exod-001-011-022,καὶ,WLC-Exod-001-011-008,וַיִּ֜בֶן
LXX-Exod-001-011-023,Ραμεσση,WLC-Exod-001-011-009,עָרֵ֤י
LXX-Exod-001-011-024,καὶ,WLC-Exod-001-011-010,מִסְכְּנוֹת֙
LXX-Exod-001-011-025,Ων,WLC-Exod-001-011-011,לְפַרְעֹ֔ה
LXX-Exod-001-011-026,ἥ,WLC-Exod-001-011-012,אֶת
LXX-Exod-001-011-027,ἐστιν,WLC-Exod-001-011-013,פִּתֹ֖ם
LXX-Exod-001-011-028,Ἡλίου,WLC-Exod-001-011-014,וְאֶת
LXX-Exod-001-011-029,πόλις,WLC-Exod-001-011-015,רַעַמְסֵֽס
12,12,12,12
LXX-Exod-001-012-001,καθότι,,
LXX-Exod-001-012-002,δὲ,,
LXX-Exod-001-012-003,αὐτοὺς,,
LXX-Exod-001-012-004,ἐταπείνουν,,
LXX-Exod-001-012-005,τοσούτῳ,,
LXX-Exod-001-012-006,πλείους,,
LXX-Exod-001-012-007,ἐγίνοντο,,
LXX-Exod-001-012-008,καὶ,,
LXX-Exod-001-012-009,ἴσχυον,WLC-Exod-001-012-001,וְכַאֲשֶׁר֙
LXX-Exod-001-012-010,σφόδρα,WLC-Exod-001-012-002,יְעַנּ֣וּ
LXX-Exod-001-012-011,σφόδρα,WLC-Exod-001-012-003,אֹת֔וֹ
LXX-Exod-001-012-012,καὶ,WLC-Exod-001-012-004,כֵּ֥ן
LXX-Exod-001-012-013,ἐβδελύσσοντο,WLC-Exod-001-012-005,יִרְבֶּ֖ה
LXX-Exod-001-012-014,οἱ,WLC-Exod-001-012-006,וְכֵ֣ן
