key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
WLC-Exod-025-007-003,וְאַבְנֵ֖י,7,3,c/68,H68,HC/Ncfpc,HC/Ncfpc,Noun (Common),,,,,Plural,Construct,Feminine,,
WLC-Exod-025-007-004,מִלֻּאִ֑ים,7,4,4394,H4394,HNcmpa,HNcmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
WLC-Exod-025-007-005,לָאֵפֹ֖ד,7,5,l/646,H646,HRd/Ncmsa,HRd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-007-006,וְלַחֹֽשֶׁן,7,6,c/l/2833,H2833,HC/Rd/Ncmsa,HC/Rd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
8,8,8,,,,,,,,,,,,,,,
WLC-Exod-025-008-001,וְעָ֥שׂוּ,8,1,c/6213 a,H6213,HC/Vqq3cp,HC/Vqq3cp,Verb,Sequential perfect,Qal,Indicative,3,Plural,,Common,,
WLC-Exod-025-008-002,לִ֖י,8,2,l,,HR/Sp1cs,HR/Sp1cs,Suffix (Pronominal),,,,1,Singular,,Common,,
WLC-Exod-025-008-003,מִקְדָּ֑שׁ,8,3,4720,H4720,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-008-004,וְשָׁכַנְתִּ֖י,8,4,c/7931,H7931,HC/Vqq1cs,HC/Vqq1cs,Verb,Sequential perfect,Qal,Indicative,1,Singular,,Common,,
WLC-Exod-025-008-005,בְּתוֹכָֽם,8,5,b/8432,H8432,HR/Ncmsc/Sp3mp,HR/Ncmsc/Sp3mp,Suffix (Pronominal),,,,3,Plural,Construct,Masculine,,
9,9,9,,,,,,,,,,,,,,,
WLC-Exod-025-009-001,כְּכֹ֗ל,9,1,k/3605,H3605,HR/Ncmsa,HR/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-009-002,אֲשֶׁ֤ר,9,2,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
WLC-Exod-025-009-003,אֲנִי֙,9,3,589,H589,HPp1cs,HPp1cs,Pronoun (Personal),,,,1,Singular,,Common,,
