LXX_key,LXX,WLC_key,WLC
LXX-Exod-025-008-007,ἐν,WLC-Exod-025-008-004,וְשָׁכַנְתִּ֖י
LXX-Exod-025-008-008,ὑμῖν,WLC-Exod-025-008-005,בְּתוֹכָֽם
9,9,9,9
LXX-Exod-025-009-001,καὶ,,
LXX-Exod-025-009-002,ποιήσεις,,
LXX-Exod-025-009-003,μοι,,
LXX-Exod-025-009-004,κατὰ,,
LXX-Exod-025-009-005,πάντα,,
LXX-Exod-025-009-006,ὅσα,,
LXX-Exod-025-009-007,ἐγώ,,
LXX-Exod-025-009-008,σοι,,
LXX-Exod-025-009-009,δεικνύω,,
LXX-Exod-025-009-010,ἐν,,
LXX-Exod-025-009-011,τῷ,,
LXX-Exod-025-009-012,ὄρει,WLC-Exod-025-009-001,כְּכֹ֗ל
LXX-Exod-025-009-013,τὸ,WLC-Exod-025-009-002,אֲשֶׁ֤ר
LXX-Exod-025-009-014,παράδειγμα,WLC-Exod-025-009-003,אֲנִי֙
LXX-Exod-025-009-015,τῆς,WLC-Exod-025-009-004,מַרְאֶ֣ה
LXX-Exod-025-009-016,σκηνῆς,WLC-Exod-025-009-005,אוֹתְךָ֔
LXX-Exod-025-009-017,καὶ,WLC-Exod-025-009-006,אֵ֚ת
LXX-Exod-025-009-018,τὸ,WLC-Exod-025-009-007,תַּבְנִ֣ית
LXX-Exod-025-009-019,παράδειγμα,WLC-Exod-025-009-008,הַמִּשְׁכָּ֔ן
LXX-Exod-025-009-020,πάντων,WLC-Exod-025-009-009,וְאֵ֖ת
LXX-Exod-025-009-021,τῶν,WLC-Exod-025-009-010,תַּבְנִ֣ית
LXX-Exod-025-009-022,σκευῶν,WLC-Exod-025-009-011,כָּל
LXX-Exod-025-009-023,αὐτῆς,WLC-Exod-025-009-012,כֵּלָ֑יו
LXX-Exod-025-009-024,οὕτω,WLC-Exod-025-009-013,וְכֵ֖ן
LXX-Exod-025-009-025,ποιήσεις,WLC-Exod-025-009-014,תַּעֲשֽׂוּ
10,10,10,10
LXX-Exod-025-010-001,καὶ,,
LXX-Exod-025-010-002,ποιήσεις,,
LXX-Exod-025-010-003,κιβωτὸν,,
LXX-Exod-025-010-004,μαρτυρίου,,
LXX-Exod-025-010-005,ἐκ,,
LXX-Exod-025-010-006,ξύλων,,
LXX-Exod-025-010-007,ἀσήπτων,,
LXX-Exod-025-010-008,δύο,,
LXX-Exod-025-010-009,πήχεων,,
LXX-Exod-025-010-010,καὶ,,
LXX-Exod-025-010-011,ἡμίσους,,
LXX-Exod-025-010-012,τὸ,,
