key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
,1,1,,,,,,,,,,,,,,,
WLC-Exod-001-001-001,וְאֵ֗לֶּה,1,1,c/428,H428,HC/Pdxcp,HC/Pdxcp,Pronoun (Demonstrative),,,,x,Plural,,Common,,
WLC-Exod-001-001-002,שְׁמוֹת֙,1,2,8034,H8034,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-001-001-003,בְּנֵ֣י,1,3,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-001-001-004,יִשְׂרָאֵ֔ל,1,4,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-001-001-005,הַבָּאִ֖ים,1,5,d/935,H935,HTd/Vqrmpa,HTd/Vqrmpa,Verb,Participle active,Qal,Participle,,Plural,Absolute,Masculine,,
WLC-Exod-001-001-006,מִצְרָ֑יְמָה,1,6,4714,H4714,HNp/Sd,HNp/Sd,Suffix,,,,,,,,,
WLC-Exod-001-001-007,אֵ֣ת,1,7,854,H854,HR,HR,Preposition,,,,,,,,,
WLC-Exod-001-001-008,יַעֲקֹ֔ב,1,8,3290,H3290,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-001-001-009,אִ֥ישׁ,1,9,376,H376,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-001-001-010,וּבֵית֖וֹ,1,10,c/1004 b,H1004,HC/Ncmsc/Sp3ms,HC/Ncmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-001-001-011,בָּֽאוּ,1,11,935,H935,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
,2,2,,,,,,,,,,,,,,,
WLC-Exod-001-002-001,רְאוּבֵ֣ן,2,1,7205,H7205,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-001-002-002,שִׁמְע֔וֹן,2,2,8095,H8095,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-001-002-003,לֵוִ֖י,2,3,3878,H3878,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-001-002-004,וִיהוּדָֽה,2,4,c/3063,H3063,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
,3,3,,,,,,,,,,,,,,,
